Date,Price,Open,High,Low,Vol.,Change %
"Dec 30, 2020",253.84,253.82,253.95,253.42,1.98K,0.01%
"Dec 29, 2020",253.82,253.7,253.82,253.41,1.69K,0.11%
"Dec 28, 2020",253.55,254.18,254.29,253.5,1.49K,-0.25%
"Dec 23, 2020",254.18,254.9,255.1,253.67,3.36K,-0.37%
"Dec 22, 2020",255.13,254.47,255.13,253.33,4.34K,0.28%
"Dec 21, 2020",254.41,254.62,255.43,254.22,7.98K,0.02%
"Dec 18, 2020",254.35,254.0,254.35,253.5,3.20K,-0.06%
"Dec 17, 2020",254.5,254.4,254.85,254.31,2.28K,-0.23%
"Dec 16, 2020",255.09,254.55,255.09,254.24,5.94K,-0.05%
"Dec 15, 2020",255.23,255.15,255.77,255.01,3.09K,-0.11%
"Dec 14, 2020",255.52,255.61,256.4,254.92,2.98K,-0.13%
"Dec 11, 2020",255.84,255.51,256.19,255.51,2.50K,0.17%
"Dec 10, 2020",255.41,255.23,255.81,254.88,1.94K,-0.11%
"Dec 09, 2020",255.69,254.97,255.69,254.73,3.24K,0.21%
"Dec 08, 2020",255.16,254.85,255.26,254.64,0.21K,0.17%
"Dec 07, 2020",254.72,254.25,254.82,254.06,2.79K,0.39%
"Dec 04, 2020",253.74,254.06,254.29,253.61,15.91K,0.39%
"Dec 03, 2020",252.75,253.91,254.52,252.75,12.27K,-1.13%
"Dec 02, 2020",255.63,254.68,255.63,253.91,20.49K,0.17%
"Dec 01, 2020",255.2,257.1,257.11,255.19,2.93K,-0.87%
"Nov 30, 2020",257.43,257.18,257.43,256.75,1.98K,-0.05%
"Nov 27, 2020",257.57,257.72,258.78,257.24,3.70K,-0.17%
"Nov 26, 2020",258.01,257.19,259.11,257.19,6.91K,0.05%
"Nov 25, 2020",257.88,257.26,258.07,257.26,1.97K,0.10%
"Nov 24, 2020",257.63,258.45,258.45,256.17,7.81K,-0.44%
"Nov 23, 2020",258.78,258.85,258.88,258.1,16.07K,-0.03%
"Nov 20, 2020",258.85,258.47,258.85,258.46,3.19K,0.15%
"Nov 19, 2020",258.47,258.5,258.9,258.31,1.68K,0.02%
"Nov 18, 2020",258.41,258.24,258.49,257.91,3.32K,0.29%
"Nov 17, 2020",257.67,257.72,257.91,257.27,3.72K,0.03%
"Nov 16, 2020",257.6,259.12,259.12,256.95,3.93K,-0.59%
"Nov 13, 2020",259.12,257.82,259.12,257.33,3.72K,0.63%
"Nov 12, 2020",257.51,257.03,257.6,256.71,4.42K,-0.53%
"Nov 11, 2020",258.87,256.51,258.87,256.4,2.85K,0.84%
"Nov 10, 2020",256.72,257.01,257.1,256.19,1.52K,-0.70%
"Nov 09, 2020",258.53,258.7,258.9,255.75,5.82K,0.02%
"Nov 06, 2020",258.47,259.4,259.52,258.23,2.76K,-0.46%
"Nov 05, 2020",259.67,260.03,260.03,259.17,1.28K,-0.36%
"Nov 04, 2020",260.6,260.4,260.83,259.68,4.00K,0.47%
"Nov 03, 2020",259.37,259.86,259.86,258.34,3.67K,-0.49%
"Nov 02, 2020",260.66,259.86,260.66,259.85,1.01K,0.14%
"Oct 30, 2020",260.3,259.93,260.39,259.11,2.76K,-0.12%
"Oct 29, 2020",260.61,259.58,260.61,259.56,24.11K,0.56%
"Oct 28, 2020",259.17,259.73,260.04,258.78,2.27K,0.26%
"Oct 27, 2020",258.5,257.83,258.5,257.65,1.46K,0.23%
"Oct 26, 2020",257.9,257.98,257.98,257.33,2.89K,0.46%
"Oct 23, 2020",256.71,258.85,258.86,255.8,1.66K,-0.24%
"Oct 22, 2020",257.34,257.5,257.98,257.33,5.23K,-0.54%
"Oct 21, 2020",258.75,257.36,258.75,257.06,12.17K,0.30%
"Oct 20, 2020",257.98,258.97,258.97,257.77,0.98K,-0.20%
"Oct 19, 2020",258.5,259.4,259.5,258.48,6.98K,-0.57%
"Oct 16, 2020",259.99,259.79,260.24,259.61,1.93K,0.04%
"Oct 15, 2020",259.89,259.56,260.57,259.56,7.92K,0.13%
"Oct 14, 2020",259.56,259.23,259.77,259.12,1.08K,0.24%
"Oct 13, 2020",258.95,258.34,259.14,257.94,2.98K,0.31%
"Oct 12, 2020",258.14,257.56,258.14,257.32,6.05K,0.24%
"Oct 09, 2020",257.51,257.53,257.63,257.07,1.30K,-0.04%
"Oct 08, 2020",257.62,257.5,257.99,257.32,1.49K,0.06%
"Oct 07, 2020",257.47,257.6,257.64,257.01,0.89K,0.01%
"Oct 06, 2020",257.45,257.51,260.0,256.94,3.95K,-0.08%
"Oct 05, 2020",257.65,259.0,259.0,257.33,1.64K,-0.67%
"Oct 02, 2020",259.38,259.21,259.91,258.91,2.36K,0.27%
"Oct 01, 2020",258.68,258.62,258.79,258.2,9.88K,0.10%
"Sep 30, 2020",258.42,259.17,259.62,258.42,0.69K,-0.34%
"Sep 29, 2020",259.3,259.62,259.95,259.02,1.05K,-0.32%
"Sep 28, 2020",260.13,260.56,260.56,259.34,2.35K,-0.17%
"Sep 25, 2020",260.56,259.69,260.56,259.4,4.95K,0.20%
"Sep 24, 2020",260.03,259.79,260.35,259.7,1.40K,0.09%
"Sep 23, 2020",259.79,259.52,259.99,259.25,1.26K,0.16%
"Sep 22, 2020",259.37,259.49,259.65,258.74,1.20K,0.09%
"Sep 21, 2020",259.13,257.7,259.36,257.22,7.59K,0.58%
"Sep 18, 2020",257.63,257.5,258.22,257.4,2.34K,-0.27%
"Sep 17, 2020",258.34,258.43,258.82,258.09,2.79K,0.22%
"Sep 16, 2020",257.78,257.18,257.9,256.64,0.66K,0.27%
"Sep 15, 2020",257.08,256.57,257.12,256.01,1.68K,0.35%
"Sep 14, 2020",256.19,256.45,256.89,256.19,0.91K,-0.07%
"Sep 11, 2020",256.37,256.51,256.75,255.72,2.38K,0.40%
"Sep 10, 2020",255.36,256.99,256.99,254.96,2.47K,-0.35%
"Sep 09, 2020",256.25,257.67,258.1,256.25,6.94K,-0.39%
"Sep 08, 2020",257.25,257.18,257.6,256.16,1.09K,0.68%
"Sep 07, 2020",255.51,256.27,256.64,255.51,0.50K,-0.40%
"Sep 04, 2020",256.54,257.35,257.35,256.54,1.32K,-0.45%
"Sep 03, 2020",257.71,257.62,257.71,256.85,1.52K,-0.04%
"Sep 02, 2020",257.81,256.28,257.81,256.04,5.86K,1.48%
"Sep 01, 2020",254.04,254.25,254.97,253.69,5.01K,-0.11%
"Aug 31, 2020",254.31,254.93,254.99,254.22,0.96K,-0.43%
"Aug 28, 2020",255.4,254.6,255.84,254.1,1.72K,-0.30%
"Aug 27, 2020",256.16,256.67,256.91,256.16,0.92K,-0.15%
"Aug 26, 2020",256.54,255.93,256.8,255.78,2.25K,-0.01%
"Aug 25, 2020",256.57,257.78,257.78,255.91,2.04K,-0.47%
"Aug 24, 2020",257.78,258.3,258.3,256.99,0.24K,-0.14%
"Aug 21, 2020",258.15,257.44,258.76,257.44,0.79K,0.38%
"Aug 20, 2020",257.18,257.06,257.92,256.98,0.84K,0.26%
"Aug 19, 2020",256.52,256.0,256.48,255.79,0.45K,0.34%
"Aug 18, 2020",255.66,256.15,256.22,255.37,0.99K,-0.29%
"Aug 17, 2020",256.41,255.62,256.41,255.62,0.71K,0.14%
"Aug 14, 2020",256.05,256.34,256.67,255.99,0.83K,-0.11%
"Aug 13, 2020",256.34,256.8,256.8,255.53,1.32K,-0.31%
"Aug 12, 2020",257.15,257.95,257.95,256.82,1.42K,-0.31%
"Aug 11, 2020",257.95,259.35,259.35,257.71,0.67K,-0.52%
"Aug 10, 2020",259.31,259.12,259.49,258.97,1.68K,0.06%
"Aug 07, 2020",259.15,258.96,259.65,258.73,1.84K,-0.18%
"Aug 06, 2020",259.62,258.0,259.62,258.0,7.40K,0.75%
"Aug 05, 2020",257.7,259.0,259.31,257.25,6.84K,-0.62%
"Aug 04, 2020",259.31,258.8,259.7,258.74,1.62K,-0.07%
"Aug 03, 2020",259.49,259.37,259.65,258.9,1.59K,0.19%
"Jul 31, 2020",259.01,258.54,259.1,258.3,4.05K,0.16%
"Jul 30, 2020",258.59,259.2,259.77,258.59,4.46K,-0.17%
"Jul 29, 2020",259.03,259.89,259.89,258.56,3.28K,-0.31%
"Jul 28, 2020",259.83,259.19,259.85,258.83,2.10K,0.36%
"Jul 27, 2020",258.9,259.6,259.71,258.29,6.87K,-0.29%
"Jul 24, 2020",259.65,260.25,260.5,259.65,1.60K,-0.23%
"Jul 23, 2020",260.25,260.23,260.8,259.8,4.13K,-0.09%
"Jul 22, 2020",260.48,261.09,261.13,259.19,13.18K,-0.23%
"Jul 21, 2020",261.08,262.15,262.15,260.95,2.12K,-0.23%
"Jul 20, 2020",261.67,260.99,262.29,260.59,1.18K,-0.04%
"Jul 17, 2020",261.77,262.23,262.23,261.04,4.74K,-0.07%
"Jul 16, 2020",261.95,261.74,262.22,261.11,3.34K,0.08%
"Jul 15, 2020",261.74,262.21,262.21,260.57,1.57K,-0.20%
"Jul 14, 2020",262.27,262.56,263.05,261.61,9.12K,0.02%
"Jul 13, 2020",262.21,263.27,263.46,261.38,3.44K,0.10%
"Jul 10, 2020",261.95,264.0,264.67,261.95,3.56K,-0.64%
"Jul 09, 2020",263.65,262.74,263.74,262.13,2.62K,0.26%
"Jul 08, 2020",262.96,263.0,263.58,261.6,2.59K,0.21%
"Jul 07, 2020",262.4,262.34,262.59,261.7,3.58K,0.02%
"Jul 06, 2020",262.34,262.49,262.49,261.29,1.52K,-0.45%
"Jul 03, 2020",263.53,263.26,263.53,262.67,0.78K,0.46%
"Jul 02, 2020",262.33,262.22,262.83,261.04,2.37K,0.16%
"Jul 01, 2020",261.9,263.45,264.16,261.66,2.73K,-0.58%
"Jun 30, 2020",263.43,263.12,263.69,263.09,1.33K,0.14%
